,Bike#,start_ts,end_ts,Latitude,Longitude,Latitude_end,Longitude_end,Start Station,End Station,Start terminal,End terminal
296,N01697,2013-07-28 15:40:00,2013-07-28 15:42:00,44.989451,-93.279579,44.989166,-93.27651,Washington Ave N & 9th Ave N,2nd Street N & 8th Ave. N,30065,30092.0
297,N01697,2013-08-19 15:18:00,2013-08-19 15:23:00,44.972217,-93.27643499999999,44.968237,-93.281991,YWCA Downtown,West 15th Street & Willow,30006,30093.0
298,N01697,2013-04-25 17:32:00,2013-04-25 17:35:00,44.972217,-93.27643499999999,44.968237,-93.281991,YWCA Downtown,West 15th Street & Willow,30006,30093.0
299,N01697,2013-06-30 14:46:00,2013-06-30 14:57:00,44.97265,-93.26872,44.968237,-93.281991,9th Street & 4th Ave.,West 15th Street & Willow,30007,30093.0
300,N01697,2013-06-20 17:22:00,2013-06-20 17:36:00,44.94964,-93.28827,44.968237,-93.281991,Lake Street & Lyndale,West 15th Street & Willow,30013,30093.0
301,N01697,2013-06-25 16:22:00,2013-06-25 16:32:00,44.976602,-93.266701,44.968237,-93.281991,Hennepin County Government Center,West 15th Street & Willow,30029,30093.0
302,N01697,2013-07-07 16:20:00,2013-07-07 16:33:00,44.954096,-93.26907,44.968237,-93.281991,5th Ave. S & East 27th Street,West 15th Street & Willow,30054,30093.0
303,N01697,2013-07-28 15:19:00,2013-07-28 15:23:00,44.96342,-93.277939,44.968237,-93.281991,Nicollet & Franklin,West 15th Street & Willow,30060,30093.0
304,N01697,2013-08-31 18:06:00,2013-08-31 19:10:00,44.96342,-93.277939,44.94478,-93.29038,Nicollet & Franklin,West 32nd Street & Bryant Ave S,30060,30094.0
305,N01697,2013-07-11 15:41:00,2013-07-11 15:46:00,44.941388,-93.29863399999999,44.94478,-93.29038,West 34th Street  & Hennepin Ave S,West 32nd Street & Bryant Ave S,30073,30094.0
306,N01697,2013-09-01 14:22:00,2013-09-01 14:32:00,44.94478,-93.29038,44.94478,-93.29038,West 32nd Street & Bryant Ave S,West 32nd Street & Bryant Ave S,30094,30094.0
307,N01697,2013-07-28 20:01:00,2013-07-28 20:05:00,44.93775,-93.29122,44.94478,-93.29038,West 36th Street & Bryant Ave S,West 32nd Street & Bryant Ave S,30095,30094.0
308,N01697,2013-09-13 17:28:00,2013-09-13 17:44:00,44.95548,-93.28775,44.93775,-93.29122,26th Street & Lyndale,West 36th Street & Bryant Ave S,30022,30095.0
309,N01697,2013-06-27 13:08:00,2013-06-27 13:54:00,44.97654,-93.25535,44.93775,-93.29122,Washington Ave S & 9th Ave S,West 36th Street & Bryant Ave S,30046,30095.0
310,N01697,2013-07-28 19:56:00,2013-07-28 20:01:00,44.941388,-93.29863399999999,44.93775,-93.29122,West 34th Street  & Hennepin Ave S,West 36th Street & Bryant Ave S,30073,30095.0
311,N01697,2013-06-29 10:41:00,2013-06-29 13:17:00,44.93775,-93.29122,44.93775,-93.29122,West 36th Street & Bryant Ave S,West 36th Street & Bryant Ave S,30095,30095.0
312,N01697,2013-05-24 17:17:00,2013-05-24 17:34:00,44.973440000000004,-93.24748000000001,44.999894,-93.26295999999999,Washington & Cedar,University Ave. NE & 12th Ave. NE,30015,30096.0
313,N01697,2013-07-28 15:56:00,2013-07-28 15:58:00,44.998613,-93.268633,44.999894,-93.26295999999999,Broadway & Marshall Street NE,University Ave. NE & 12th Ave. NE,30152,30096.0
314,N01697,2013-07-28 18:51:00,2013-07-28 18:55:00,44.9519,-93.27831,44.948555999999996,-93.283163,28th Street & Nicollet Ave. S,Pleasant Ave S &  Lake Street,30064,30097.0
315,N01697,2013-05-12 16:21:00,2013-05-12 16:34:00,44.982594299999995,-93.26751390000001,44.995348,-93.26685400000001,Gateway Park,Marshall Street NE & 8th Ave. NE,30091,30098.0
316,N01697,2013-05-13 19:08:00,2013-05-13 19:15:00,44.989166,-93.27651,44.995348,-93.26685400000001,2nd Street N & 8th Ave. N,Marshall Street NE & 8th Ave. NE,30092,30098.0
317,N01697,2013-05-12 17:06:00,2013-05-12 17:26:00,44.995348,-93.26685400000001,44.995348,-93.26685400000001,Marshall Street NE & 8th Ave. NE,Marshall Street NE & 8th Ave. NE,30098,30098.0
318,N01697,2013-07-28 15:51:00,2013-07-28 15:54:00,44.992540000000005,-93.270256,44.995348,-93.26685400000001,Boom Island Park,Marshall Street NE & 8th Ave. NE,30151,30098.0
319,N01697,2013-07-28 10:43:00,2013-07-28 10:45:00,44.940127000000004,-93.146957,44.94016,-93.1529,Grand Ave & Lexington Parkway,Kowalski's Market,30100,30099.0
320,N01697,2013-07-28 10:38:00,2013-07-28 10:43:00,44.941599,-93.138832,44.940127000000004,-93.146957,N Milton Street & Summit Ave,Grand Ave & Lexington Parkway,30101,30100.0
321,N01697,2013-07-28 10:33:00,2013-07-28 10:38:00,44.939778999999994,-93.126261,44.941599,-93.138832,Dale Street & Grand Ave.,N Milton Street & Summit Ave,30106,30101.0
322,N01697,2013-07-28 10:53:00,2013-07-28 11:00:00,44.940513,-93.177093,44.926969,-93.182263,Grand Ave & Fairview Ave,St. Catherine University,30085,30102.0
323,N01697,2013-07-28 10:27:00,2013-07-28 10:30:00,44.9467,-93.1151,44.945736,-93.12661,Selby Ave & Virginia Street,Hague Ave & Dale Street,30137,30103.0
324,N01697,2013-11-01 15:23:00,2013-11-01 15:40:00,44.975640999999996,-93.272185,44.99882,-93.25276,IDS Center,Logan Park,30042,30104.0
325,N01697,2013-07-28 16:15:00,2013-07-28 16:21:00,45.00994,-93.247114,44.99882,-93.25276,Central Ave. NE & 22nd Ave NE,Logan Park,30112,30104.0
326,N01697,2013-08-03 20:11:00,2013-08-03 20:37:00,45.033069,-93.29065,44.99882,-93.25276,Webber Park,Logan Park,30146,30104.0
327,N01697,2013-07-28 10:31:00,2013-07-28 10:33:00,44.945736,-93.12661,44.939778999999994,-93.126261,Hague Ave & Dale Street,Dale Street & Grand Ave.,30103,30106.0
328,N01697,2013-07-20 09:26:00,2013-07-20 09:58:00,44.940288,-93.197997,44.939778999999994,-93.126261,Mississippi River Blvd & Summit Ave,Dale Street & Grand Ave.,30162,30106.0
329,N01697,2013-07-28 17:36:00,2013-07-28 17:42:00,44.987934,-93.21289200000001,44.981343,-93.193977,Como Ave. SE & 29th Ave. SE,Carter Ave & Como Ave,30109,30108.0
330,N01697,2013-07-28 17:30:00,2013-07-28 17:36:00,44.987517,-93.230469,44.987934,-93.21289200000001,15th Ave. SE & Como Ave. SE,Como Ave. SE & 29th Ave. SE,30110,30109.0
